epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1219.91,0.76375,0.56091,1.22013,0.93281,0.88679,0.94614,0.77964,0.79442,0.48566,1.31509,0.00138101,0.00138101,0.00138101
43,1248.74,0.74346,0.54984,1.19651,0.94468,0.89249,0.94659,0.7869,0.78895,0.47688,1.30639,0.00136781,0.00136781,0.00136781
44,1277.58,0.72661,0.53942,1.1899,0.9505,0.88005,0.93958,0.77343,0.81189,0.49815,1.33868,0.00135438,0.00135438,0.00135438
45,1306.61,0.77767,0.56311,1.2252,0.91313,0.89218,0.93677,0.77503,0.80993,0.48849,1.30205,0.00134073,0.00134073,0.00134073
46,1335.31,0.73909,0.54159,1.20429,0.93807,0.91067,0.95422,0.78541,0.79719,0.47234,1.3064,0.00132685,0.00132685,0.00132685
47,1364.28,0.72079,0.54196,1.2013,0.93773,0.90253,0.94281,0.78145,0.79846,0.47777,1.31048,0.00131277,0.00131277,0.00131277
48,1392.97,0.7278,0.52609,1.19761,0.94497,0.91779,0.95284,0.78514,0.79533,0.44874,1.29686,0.00129847,0.00129847,0.00129847
49,1421.72,0.71517,0.5246,1.1817,0.93208,0.9097,0.9483,0.78946,0.78404,0.46585,1.30627,0.00128398,0.00128398,0.00128398
50,1450.68,0.69849,0.51284,1.17581,0.92899,0.90296,0.94737,0.7782,0.78636,0.47764,1.28906,0.00126929,0.00126929,0.00126929
51,1479.27,0.71868,0.52424,1.18851,0.93325,0.89603,0.94143,0.78072,0.79483,0.47753,1.29813,0.00125442,0.00125442,0.00125442
52,1507.57,0.72462,0.52149,1.19209,0.93932,0.88275,0.94872,0.78865,0.78041,0.45064,1.27952,0.00123936,0.00123936,0.00123936
53,1536.08,0.70698,0.50245,1.17994,0.93932,0.92049,0.95484,0.78103,0.78628,0.44493,1.28597,0.00122413,0.00122413,0.00122413
54,1564.78,0.71153,0.50498,1.17516,0.95363,0.91557,0.95288,0.79413,0.74594,0.44601,1.27437,0.00120873,0.00120873,0.00120873
55,1593.88,0.68321,0.48706,1.16332,0.93317,0.92612,0.96067,0.79246,0.76003,0.42966,1.26965,0.00119317,0.00119317,0.00119317
56,1622.57,0.69759,0.49706,1.17122,0.92348,0.92722,0.95128,0.78933,0.77575,0.44559,1.2952,0.00117746,0.00117746,0.00117746
57,1651.28,0.67371,0.50183,1.15805,0.93802,0.89234,0.94021,0.78733,0.74253,0.46059,1.26039,0.0011616,0.0011616,0.0011616
58,1680.07,0.68459,0.4857,1.1634,0.94821,0.92318,0.95929,0.79511,0.76509,0.4488,1.28268,0.0011456,0.0011456,0.0011456
59,1709.11,0.67893,0.48192,1.16002,0.93834,0.91509,0.95434,0.78647,0.76096,0.4426,1.27729,0.00112946,0.00112946,0.00112946
60,1737.88,0.66956,0.4795,1.16034,0.93662,0.92992,0.96171,0.79695,0.7387,0.43004,1.25512,0.0011132,0.0011132,0.0011132
